pair_id,participant,thermal_tactile_symmetric_set_distance_mm
RV5,23,28.426445
RV5,24,89.730529
TH1,1,8.321964
TH1,2,11.351797
TH1,3,4.372341
TH1,4,6.126001
TH1,5,2.468907
TH1,6,37.022937
TH1,7,21.345427
TH1,8,0.547020
TH1,9,50.522483
TH1,10,33.406044
TH1,11,17.669078
TH1,12,6.238017
TH1,13,22.406392
TH1,14,2.760109
TH1,15,20.771433
TH1,16,4.117730
TH1,17,17.055926
TH1,18,10.826156
TH1,19,34.612766
TH1,20,9.192671
TH1,21,0.360661
TH1,22,36.812037
TH1,23,11.889972
TH1,24,16.052811
TH3,1,32.812747
TH3,2,42.042707
TH3,3,35.201905
TH3,4,15.966780
TH3,5,1.434255
TH3,6,89.608122
TH3,7,31.507300
TH3,8,4.300058
TH3,9,22.240977
TH3,10,29.835308
TH3,11,7.902489
TH3,12,56.732822
TH3,13,2.544343
TH3,14,15.804107
TH3,15,20.809963
TH3,16,19.707803
TH3,17,11.428240
TH3,18,25.654668
TH3,19,33.473520
TH3,20,6.508467
TH3,21,5.761500
TH3,22,29.122247
TH3,23,10.761451
TH3,24,35.207094
TH5,1,28.602148
TH5,3,54.844205
TH5,4,13.903018
TH5,5,44.605384
TH5,6,57.305763
TH5,7,45.201344
TH5,8,1.179037
TH5,9,15.419902
TH5,10,45.923578
TH5,11,11.165975
TH5,12,6.774113
TH5,13,38.867302
TH5,14,46.582478
TH5,15,44.650183
TH5,16,51.781693
TH5,17,21.387913
TH5,18,63.507346
TH5,19,40.779330
TH5,20,12.114518
TH5,21,3.871721
TH5,22,38.964951
TH5,23,23.664997
TH5,24,26.935238
MH1,1,28.661971
MH1,3,17.154607
MH1,4,15.419439
MH1,5,47.859610
MH1,6,20.709303
MH1,7,43.882412
MH1,8,4.573557
MH1,9,18.078385
MH1,10,14.933675
MH1,11,17.707610
MH1,12,3.137393
MH1,13,19.961037
MH1,14,0.378233
MH1,15,19.530399
MH1,16,7.388702
MH1,17,26.292262
MH1,18,21.629191
MH1,19,30.345915
MH1,20,5.960484
MH1,21,5.451644
MH1,22,8.085869
MH1,23,2.516088
MH1,24,7.732364
MH2,1,32.473513
MH2,2,25.723106
MH2,3,29.147859
MH2,4,8.024819
MH2,5,60.884782
MH2,6,22.696039
MH2,7,21.284850
MH2,8,14.623052
MH2,9,5.186896
MH2,10,25.353569
MH2,11,22.415218
MH2,12,27.673046
MH2,13,47.287847
MH2,14,22.026033
MH2,15,15.523084
MH2,16,7.927545
MH2,17,31.342166
MH2,18,39.639337
MH2,19,24.530737
MH2,20,24.905260
MH2,21,7.007452
MH2,22,33.372253
MH2,23,33.410178
MH2,24,15.554017
MH3,1,37.970677
MH3,3,46.676069
MH3,4,6.910722
MH3,5,59.106674
MH3,6,47.054949
MH3,7,44.585597
MH3,8,13.650340
MH3,9,25.506995
MH3,10,6.543571
MH3,11,28.646233
MH3,12,24.235235
MH3,13,20.399525
MH3,14,24.301868
MH3,15,30.936620
MH3,16,9.813275
MH3,17,10.324955
MH3,18,61.585611
MH3,19,17.665208
MH3,20,5.907691
MH3,21,8.433903
MH3,22,55.894398
MH3,23,20.949979
MH3,24,55.745780
MH4,1,56.816467
MH4,2,18.428564
MH4,3,29.545074
MH4,4,11.538529
MH4,5,57.244493
MH4,6,16.734713
MH4,7,39.052771
MH4,8,36.991547
MH4,9,20.158320
MH4,10,10.878174
MH4,11,6.667819
MH4,12,38.649149
MH4,13,16.305098
MH4,14,35.862829
MH4,15,24.679483
